# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment
r,hmu,Standby,,,,B503,020003,,,HEX:6,,,,,,,,,,,,,,,,,,,,,
# START Unbekannte Nachrichten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,hmu,UnbekannteAbfrage60sB507h,,,08,B507,0900,,,HEX:*,,,Unbekannte Abfrage all 60 Sekunden vom Sensocomfort an ArothermPlus,,,,,,,,,,,,,,,,,,
r,,4PortValvestunden,,,,,FF3406,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,4PortValveSchaltere,,,,,FF3407,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,EEVSteps,,,,,FF340D,,,UIN,,,,,,,,,,,,,,,,,,,,,
r;w,,EnergieIntegralStartWaerme,,,,,FF341E,,,integral,,°min,Energie Integral value to start Waerme (°min),,,,,,,,,,,,,,,,,,
r;w,,HeizkreislaufMaximalerDruckUnterschied,,,,,FF341F,,,UIN,,mBar,Heizkreislauf Maximaler Druck Unterschied (mBar),,,,,,,,,,,,,,,,,,
r;w,,EnergieIntegralStartKuehlung,,,,,FF3421,,,integral,,°min,Energie Integral value to start Kuehlung (°min),,,,,,,,,,,,,,,,,,
r;w,,KompressorBetriebsmodusLeise,,,,,FF3428,,,percent0,,,KompressorBetriebsmodusLeise,,,,,,,,,,,,,,,,,,
r;w,,SperrzeitMaximaldauer,,,,,FF342D,,,UCH,,hrs,SperrzeitMaximaldauer (Stunden),,,,,,,,,,,,,,,,,,
r,,KeineSperrzeiten,,,,,FF3430,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,KompressorHystereseWaerme,,,,,FF3443,,,D2C,,K,Kompressor Hysterese central Waerme (K),,,,,,,,,,,,,,,,,,
r;w,,WarmwasserBetriebsmodus,,,,,FF3444,,,UCH,0=eco;1=normal;2=balance,,Domestic hot water mod (eco/normal/balance),,,,,,,,,,,,,,,,,,
r,,Luefter1Betriebsstunden,,,,,FF3451,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,Luefter1Starts,,,,,FF3452,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,Luefter2Betriebsstunden,,,,,FF345E,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,Luefter2Starts,,,,,FF345F,,,UIN,,,,,,,,,,,,,,,,,,,,,
# FF35xx: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Heat pump configuration menu values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;w,,Heizkurve,(with intergrated System thermostat),,,,FF352D,,,BCD,10,,(8F)Heat curve 0.1 to 4.0,,,,,,,,,,,,,,,,,,
r,,SummerSwitchOffTemp,(with intergrated System thermostat),,,,FF352E,,,D2C,,°C,(8F)Switch-off Temperatur summer (°C),,,,,,,,,,,,,,,,,,
r,,WaermeBivalenzPunkt,(with intergrated System thermostat),,,,FF352F,,,D2C,,°C,(8F)Central Waerme Bivalenz Punkt (°C),,,,,,,,,,,,,,,,,,
r,,WarmwasserBivalenzPunkt,(with intergrated System thermostat),,,,FF3530,,,D2C,,°C,(8F)Bivalenz Punkt domestic hot water (°C),,,,,,,,,,,,,,,,,,
r,,MaxFlowTemp,(with intergrated System thermostat),,,,FF3532,,,D2C,,°C,(8F)Maximum flow Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,MinFlowTemp,(with intergrated System thermostat),,,,FF3533,,,D2C,,°C,(8F)Minimum flow Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,WaermeModusActive,(with intergrated System thermostat),,,,FF3534,,,UCH,0=no;1=yes,,(8F)Central Waerme Modus active (yes/no),,,,,,,,,,,,,,,,,,
r,,WarmwasserModusActive,(with intergrated System thermostat),,,,FF3535,,,UCH,0=no;1=yes,,(8F)Domestic hot water Modus active (yes/no),,,,,,,,,,,,,,,,,,
r,,WarmwasserChargeHysterese,(with intergrated System thermostat),,,,FF3539,,,D2C,,K,(8F)Hysterese Warmwasser charging (K),,,,,,,,,,,,,,,,,,
r;w,,KompressorModulationType,,,,,FF353D,,,UCH,0=hard;1=soft,,Kompressor Modulation type (soft/hard),,,,,,,,,,,,,,,,,,
r,,KompressorHystereseKuehlung,,,,,FF353F,,,D2C,,K,Kompressor Hysterese Kuehlung (K),,,,,,,,,,,,,,,,,,
!include,hcmode.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!include,errors.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
